time,I_bus_1,I_bus_2,I_bus_3
0.014,0.57891,-0.82303,-0.0060223
0.0141,0.57844,-0.82222,-0.0063802
0.0142,0.57802,-0.82132,-0.006627
0.0143,0.57764,-0.82035,-0.006776
0.0144,0.57729,-0.81933,-0.0068399
0.0145,0.57697,-0.81827,-0.0068304
0.0146,0.57666,-0.81718,-0.0067588
0.0147,0.57636,-0.81606,-0.0066352
0.0148,0.57607,-0.81493,-0.006469
0.0149,0.57577,-0.81379,-0.0062689
0.015,0.57548,-0.81265,-0.0060424
0.0151,0.57517,-0.81151,-0.0057964
0.0152,0.57486,-0.81038,-0.0055372
0.0153,0.57453,-0.80926,-0.00527
0.0154,0.57419,-0.80816,-0.0049995
0.0155,0.57384,-0.80708,-0.0047296
0.0156,0.57347,-0.80601,-0.0044638
0.0157,0.57308,-0.80496,-0.0042048
0.0158,0.57268,-0.80393,-0.0039549
0.0159,0.57227,-0.80293,-0.0037158
0.016,0.57184,-0.80194,-0.003489
0.0161,0.57139,-0.80098,-0.0032755
0.0162,0.57093,-0.80004,-0.0030758
0.0163,0.57046,-0.79911,-0.0028904
0.0164,0.56997,-0.79821,-0.0027194
0.0165,0.56948,-0.79732,-0.0025627
0.0166,0.56897,-0.79645,-0.0024199
0.0167,0.56845,-0.7956,-0.0022906
0.0168,0.56792,-0.79476,-0.0021743
0.0169,0.56739,-0.79393,-0.0020704
0.017,0.56685,-0.79311,-0.001978
0.0171,0.5663,-0.79231,-0.0018965
0.0172,0.56574,-0.79151,-0.001825
0.0173,0.56519,-0.79073,-0.0017628
0.0174,0.56462,-0.78995,-0.0017089
0.0175,0.56406,-0.78918,-0.0016626
0.0176,0.56349,-0.78841,-0.0016231
0.0177,0.56292,-0.78765,-0.0015896
0.0178,0.56235,-0.7869,-0.0015614
0.0179,0.56178,-0.78615,-0.0015378
0.018,0.5612,-0.7854,-0.0015181
0.0181,0.56063,-0.78465,-0.0015019
0.0182,0.56006,-0.78391,-0.0014884
0.0183,0.55948,-0.78316,-0.0014772
0.0184,0.55891,-0.78242,-0.0014678
0.0185,0.55834,-0.78168,-0.0014599
0.0186,0.55777,-0.78094,-0.001453
0.0187,0.5572,-0.7802,-0.0014468
0.0188,0.55663,-0.77946,-0.001441
0.0189,0.55607,-0.77872,-0.0014354
0.019,0.5555,-0.77798,-0.0014298
0.0191,0.55494,-0.77723,-0.0014239
0.0192,0.55438,-0.77649,-0.0014177
0.0193,0.55382,-0.77575,-0.0014111
0.0194,0.55326,-0.77501,-0.0014038
0.0195,0.5527,-0.77427,-0.0013959
0.0196,0.55214,-0.77352,-0.0013874
0.0197,0.55159,-0.77278,-0.0013781
0.0198,0.55103,-0.77204,-0.001368
0.0199,0.55048,-0.77129,-0.0013573
0.02,0.54993,-0.77055,-0.0013458
0.0201,0.54938,-0.7698,-0.0013335
