eig_end_r,eig_end_im,eig_start_r,eig_start_im
-2662.9,0.0,-1865.5,0.0
-2061.3,1315.3,-1754.6,1055.8
-2061.3,-1315.3,-1754.6,-1055.8
-1173.7,1142.4,-760.8,889.99
-1173.7,-1142.4,-760.8,-889.99
-468.07,0.0,-1267.2,0.0
-30.972,0.0,-9.7219,0.0
-8.4052,0.0,-1.0478,0.0
0.71985,0.0,-0.47419,0.0
