time,I_bus_1,I_bus_2,I_bus_3
0.129,0.12646,-0.18414,-0.017093
0.13012,0.13756,-0.18717,-0.016254
0.13128,0.081961,-0.1571,-0.012408
0.13244,0.27569,-0.25672,-0.024168
0.1334,-0.017105,-0.10713,-0.0060074
0.13421,0.15024,-0.18865,-0.016209
0.13507,0.11067,-0.16732,-0.013549
0.13625,0.15345,-0.18767,-0.016295
0.13733,0.062251,-0.14127,-0.010344
0.13841,0.20633,-0.21114,-0.019947
0.13946,0.0075053,-0.11201,-0.0061957
0.14046,0.20666,-0.20732,-0.020202
0.1415,0.03446,-0.12399,-0.0074887
0.14255,0.16327,-0.18248,-0.018459
0.14356,0.12311,-0.16977,-0.013309
0.14451,0.056816,-0.13212,-0.012525
0.14534,0.12329,-0.16648,-0.015516
0.1462,0.10093,-0.15196,-0.013691
0.14731,0.13119,-0.16555,-0.014378
0.14861,-0.075518,-0.061929,-0.0016031
0.14938,0.12482,-0.1606,-0.013535
0.15015,0.10289,-0.14792,-0.012096
0.15135,0.11285,-0.15203,-0.012629
0.15256,0.056926,-0.12291,-0.0092658
0.15378,0.28664,-0.23905,-0.023835
0.15477,-0.090966,-0.049195,0.00040259
0.15556,0.13459,-0.15889,-0.013786
0.15641,0.087204,-0.13419,-0.010582
0.15757,0.127,-0.15321,-0.013261
0.15895,-0.13891,-0.021266,0.0046028
0.15977,0.1498,-0.16191,-0.014847
0.16058,0.081576,-0.12826,-0.010301
0.16174,0.12341,-0.14776,-0.013138
0.16318,-0.15254,-0.012418,0.0069511
0.16401,0.15648,-0.15891,-0.015391
0.16483,0.073435,-0.12171,-0.0099957
0.166,0.11567,-0.14045,-0.013216
0.16742,0.015,-0.10719,-0.0021733
0.16809,0.15601,-0.16137,-0.015685
0.16875,0.087829,-0.12604,-0.011509
0.16981,0.085612,-0.12295,-0.01063
0.17136,0.040324,-0.097505,-0.0080253
0.17221,0.10368,-0.13018,-0.010786
0.17306,0.074976,-0.11463,-0.0093342
0.17416,0.10476,-0.12907,-0.011024
0.17546,-0.083877,-0.034819,0.00044805
0.17625,0.10577,-0.12819,-0.010996
0.17703,0.076392,-0.11217,-0.0090604
0.17821,0.093193,-0.11988,-0.010031
0.17939,0.027985,-0.086641,-0.0059554
0.18058,0.24046,-0.19218,-0.019728
0.18158,-0.092988,-0.025866,0.0022831
0.18242,0.12659,-0.13296,-0.012141
0.18332,0.052913,-0.096255,-0.0071891
0.18445,0.11894,-0.12778,-0.011773
0.18575,-0.11098,-0.015284,0.004972
0.18663,0.13761,-0.13259,-0.013377
0.1875,0.051721,-0.094257,-0.0074318
0.18862,0.084326,-0.10788,-0.010487
0.18992,0.15611,-0.16182,-0.011516
0.19059,0.12235,-0.12994,-0.012877
0.19125,0.068455,-0.099944,-0.0091249
0.19241,0.073589,-0.10035,-0.0085092
0.19371,0.023895,-0.074593,-0.0052681
0.19466,0.10576,-0.11562,-0.010102
0.19561,0.034669,-0.079152,-0.0057721
0.19666,0.1155,-0.11891,-0.010854
0.19776,-0.035003,-0.043728,-0.0010735
0.19879,0.18218,-0.15005,-0.015351
0.19972,-0.0051577,-0.057124,-0.0026864
0.20067,0.10753,-0.11173,-0.010423
0.20176,0.0015189,-0.05982,-0.0028642
0.20297,0.19703,-0.15075,-0.017852
0.20406,-0.024016,-0.049847,0.0020762
0.20496,0.054595,-0.083424,-0.011781
0.20571,0.041519,-0.085948,-0.011374
0.20655,0.061179,-0.090476,-0.011785
0.20803,0.052758,-0.082429,-0.0065835
0.20891,0.053816,-0.079606,-0.006712
0.20978,0.062862,-0.08525,-0.0067074
0.21092,0.030475,-0.068096,-0.0051818
0.21194,0.09829,-0.10234,-0.0090775
0.21295,-0.0021934,-0.051215,-0.0030261
0.21395,0.12249,-0.1131,-0.010711
0.21492,-0.0061182,-0.048336,-0.0024554
0.2159,0.10743,-0.10391,-0.0097561
0.21691,-0.0047567,-0.048077,-0.0022783
0.21798,0.13483,-0.11568,-0.011756
0.21905,-0.051191,-0.024387,0.0013471
0.22009,0.15749,-0.12321,-0.013941
0.22112,-0.019148,-0.040175,-0.00015116
0.22211,0.064607,-0.0779,-0.0092038
0.22307,0.078498,-0.090736,-0.0082269
0.22397,0.020042,-0.05826,-0.0060734
0.22486,0.066911,-0.081111,-0.0078023
0.22585,0.024625,-0.058141,-0.0046633
0.22698,0.12006,-0.10587,-0.010031
0.22807,-0.10303,0.0049661,0.0038828
0.22899,0.13686,-0.113,-0.011228
0.22983,0.020453,-0.054167,-0.0036048
0.23079,0.069098,-0.077818,-0.0067545
0.232,-0.025677,-0.030923,-0.00045294
0.23323,0.29186,-0.18384,-0.022336
0.23423,-0.15152,0.03513,0.0094067
0.23511,0.11422,-0.096668,-0.011033
0.23603,0.015382,-0.051768,-0.0042878
0.23713,0.062032,-0.071271,-0.0081534
0.23835,0.11126,-0.10958,-0.0074096
0.23905,0.077016,-0.081679,-0.0086257
0.23975,0.039088,-0.060933,-0.005942
0.24115,0.073764,-0.07573,-0.0072758
0.24218,0.00059395,-0.039401,-0.0020771
0.24322,0.09297,-0.084466,-0.0081633
0.24434,-0.05461,-0.011801,0.0019168
0.24543,0.17822,-0.12312,-0.014447
0.24644,-0.069221,-0.0033649,0.0037291
0.24742,0.097179,-0.082486,-0.010009
0.2484,0.027694,-0.053554,-0.0038461
0.24942,0.0002695,-0.037048,-0.0045421
0.25036,0.087962,-0.083061,-0.0081389
0.25122,0.014354,-0.043644,-0.004015
0.25213,0.054101,-0.062785,-0.00573
0.25322,-0.00089993,-0.034467,-0.002055
0.2544,0.17382,-0.1223,-0.012936
0.25543,-0.13866,0.03279,0.0069772
0.25626,0.087357,-0.077249,-0.0073824
0.25711,0.019676,-0.043217,-0.002886
0.2582,0.065199,-0.065445,-0.0059643
0.25952,-0.12336,0.027056,0.0068701
0.26041,0.10324,-0.08235,-0.0087661
0.26131,0.0069381,-0.036211,-0.0021066
0.26248,0.088911,-0.074828,-0.008273
0.26379,-0.10583,0.0096794,0.0089474
0.26452,0.085784,-0.074062,-0.0087156
0.26525,0.025065,-0.046454,-0.0053332
0.26652,0.062905,-0.062732,-0.0069116
0.26764,-0.024797,-0.018374,1.4058e-05
0.26876,0.13079,-0.092673,-0.010687
0.26989,-0.11102,0.023922,0.0077407
0.2709,0.11019,-0.077218,-0.011442
0.27181,0.025475,-0.045834,-0.0041879
0.27268,0.020253,-0.042439,-0.0065148
0.2736,0.042788,-0.052424,-0.0063002
0.27466,-0.0061836,-0.025261,-0.0022057
0.27578,0.13494,-0.097124,-0.0098006
0.27676,-0.088176,0.01492,0.0038181
0.27761,0.067481,-0.061297,-0.0056847
0.27849,0.012894,-0.033476,-0.0021944
0.27959,0.062284,-0.057763,-0.0054003
0.28086,-0.13102,0.037271,0.0073138
