time,V_MG
0.0359,810.43
0.036,810.42
0.0361,810.41
0.0362,810.4
0.0363,810.39
0.0364,810.38
0.0365,810.37
0.0366,810.36
0.0367,810.35
0.0368,810.34
0.0369,810.33
0.037,810.32
0.0371,810.31
0.0372,810.3
0.0373,810.28
0.0374,810.27
0.0375,810.26
0.0376,810.25
0.0377,810.24
0.0378,810.23
0.0379,810.22
0.038,810.21
0.0381,810.2
0.0382,810.19
0.0383,810.18
0.0384,810.17
0.0385,810.16
0.0386,810.15
0.0387,810.14
0.0388,810.13
0.0389,810.12
0.039,810.11
0.0391,810.1
0.0392,810.09
0.0393,810.08
0.0394,810.07
0.0395,810.06
0.0396,810.05
0.0397,810.04
0.0398,810.03
0.0399,810.02
0.04,810.01
0.0401,810
0.0402,809.99
0.0403,809.98
0.0404,809.97
0.0405,809.96
0.0406,809.95
0.0407,809.94
0.0408,809.93
0.0409,809.92
0.041,809.91
0.0411,809.9
0.0412,809.89
0.0413,809.88
0.0414,809.87
0.0415,809.87
0.0416,809.86
0.0417,809.85
0.0418,809.84
0.0419,809.83
0.042,809.82
0.0421,809.81
0.0422,809.8
0.0423,809.79
0.0424,809.78
0.0425,809.77
0.0426,809.76
0.0427,809.75
0.0428,809.74
0.0429,809.73
0.043,809.72
0.0431,809.71
0.0432,809.7
0.0433,809.69
0.0434,809.68
0.0435,809.67
0.0436,809.66
0.0437,809.65
0.0438,809.64
0.0439,809.63
0.044,809.62
0.0441,809.61
0.0442,809.6
0.0443,809.59
0.0444,809.59
0.0445,809.58
0.0446,809.57
0.0447,809.56
0.0448,809.55
0.0449,809.54
0.045,809.53
0.0451,809.52
0.0452,809.51
0.0453,809.5
0.0454,809.49
0.0455,809.48
0.0456,809.47
0.0457,809.46
0.0458,809.45
0.0459,809.44
0.046,809.43
0.0461,809.42
0.0462,809.42
0.0463,809.41
0.0464,809.4
0.0465,809.39
0.0466,809.38
0.0467,809.37
0.0468,809.36
0.0469,809.35
0.047,809.34
0.0471,809.33
0.0472,809.32
0.0473,809.31
0.0474,809.3
0.0475,809.29
0.0476,809.29
0.0477,809.28
0.0478,809.27
0.0479,809.26
0.048,809.25
0.0481,809.24
0.0482,809.23
0.0483,809.22
0.0484,809.21
0.0485,809.2
0.0486,809.19
0.0487,809.18
0.0488,809.18
0.0489,809.17
0.049,809.16
0.0491,809.15
0.0492,809.14
0.0493,809.13
0.0494,809.12
0.0495,809.11
0.0496,809.1
0.0497,809.09
0.0498,809.09
0.0499,809.08
0.05,809.07
0.0501,809.06
0.0502,809.05
0.0503,809.04
0.0504,809.03
0.0505,809.02
0.0506,809.01
0.0507,809
0.0508,809
0.0509,808.99
0.051,808.98
0.0511,808.97
0.0512,808.96
0.0513,808.95
0.0514,808.94
0.0515,808.93
0.0516,808.92
0.0517,808.92
0.0518,808.91
0.0519,808.9
0.052,808.89
0.0521,808.88
0.0522,808.87
0.0523,808.86
0.0524,808.85
0.0525,808.84
0.0526,808.84
0.0527,808.83
0.0528,808.82
0.0529,808.81
0.053,808.8
0.0531,808.79
0.0532,808.78
0.0533,808.77
0.0534,808.77
0.0535,808.76
0.0536,808.75
0.0537,808.74
0.0538,808.73
0.0539,808.72
0.054,808.71
0.0541,808.71
0.0542,808.7
0.0543,808.69
0.0544,808.68
0.0545,808.67
0.0546,808.66
0.0547,808.65
0.0548,808.65
0.0549,808.64
0.055,808.63
0.0551,808.62
0.0552,808.61
0.0553,808.6
0.0554,808.59
0.0555,808.59
0.0556,808.58
0.0557,808.57
0.0558,808.56
0.0559,808.55
0.056,808.54
0.0561,808.53
0.0562,808.53
0.0563,808.52
0.0564,808.51
0.0565,808.5
0.0566,808.49
0.0567,808.48
0.0568,808.48
0.0569,808.47
0.057,808.46
0.0571,808.45
0.0572,808.44
0.0573,808.43
0.0574,808.43
0.0575,808.42
0.0576,808.41
0.0577,808.4
0.0578,808.39
0.0579,808.38
0.058,808.38
0.0581,808.37
0.0582,808.36
0.0583,808.35
0.0584,808.34
0.0585,808.33
0.0586,808.33
0.0587,808.32
0.0588,808.31
0.0589,808.3
0.059,808.29
0.0591,808.28
0.0592,808.28
0.0593,808.27
0.0594,808.26
0.0595,808.25
0.0596,808.24
0.0597,808.24
0.0598,808.23
0.0599,808.22
0.06,808.21
0.0601,808.2
0.0602,808.19
0.0603,808.19
0.0604,808.18
0.0605,808.17
0.0606,808.16
0.0607,808.15
0.0608,808.15
0.0609,808.14
0.061,808.13
0.0611,808.12
0.0612,808.11
0.0613,808.11
0.0614,808.1
0.0615,808.09
0.0616,808.08
0.0617,808.07
0.0618,808.07
0.0619,808.06
0.062,808.05
0.0621,808.04
0.0622,808.03
0.0623,808.03
0.0624,808.02
0.0625,808.01
0.0626,808
0.0627,807.99
0.0628,807.99
0.0629,807.98
0.063,807.97
0.0631,807.96
0.0632,807.95
0.0633,807.95
0.0634,807.94
0.0635,807.93
0.0636,807.92
0.0637,807.91
0.0638,807.91
0.0639,807.9
0.064,807.89
0.0641,807.88
0.0642,807.88
0.0643,807.87
0.0644,807.86
0.0645,807.85
0.0646,807.84
0.0647,807.84
0.0648,807.83
0.0649,807.82
0.065,807.81
0.0651,807.81
0.0652,807.8
0.0653,807.79
0.0654,807.78
0.0655,807.77
0.0656,807.77
0.0657,807.76
0.0658,807.75
0.0659,807.74
0.066,807.74
0.0661,807.73
0.0662,807.72
0.0663,807.71
0.0664,807.71
0.0665,807.7
0.0666,807.69
0.0667,807.68
0.0668,807.68
0.0669,807.67
0.067,807.66
0.0671,807.65
0.0672,807.64
0.0673,807.64
0.0674,807.63
0.0675,807.62
0.0676,807.61
0.0677,807.61
0.0678,807.6
0.0679,807.59
0.068,807.58
0.0681,807.58
0.0682,807.57
0.0683,807.56
0.0684,807.55
0.0685,807.55
0.0686,807.54
0.0687,807.53
0.0688,807.52
0.0689,807.52
0.069,807.51
0.0691,807.5
0.0692,807.49
0.0693,807.49
0.0694,807.48
0.0695,807.47
0.0696,807.46
0.0697,807.46
0.0698,807.45
0.0699,807.44
0.07,807.44
0.0701,807.43
0.0702,807.42
0.0703,807.41
0.0704,807.41
0.0705,807.4
0.0706,807.39
0.0707,807.38
0.0708,807.38
0.0709,807.37
0.071,807.36
0.0711,807.35
0.0712,807.35
0.0713,807.34
0.0714,807.33
0.0715,807.33
0.0716,807.32
0.0717,807.31
0.0718,807.3
0.0719,807.3
0.072,807.29
0.0721,807.28
0.0722,807.27
0.0723,807.27
0.0724,807.26
0.0725,807.25
0.0726,807.25
0.0727,807.24
0.0728,807.23
0.0729,807.22
0.073,807.22
0.0731,807.21
0.0732,807.2
0.0733,807.2
0.0734,807.19
0.0735,807.18
0.0736,807.17
0.0737,807.17
0.0738,807.16
0.0739,807.15
0.074,807.15
0.0741,807.14
0.0742,807.13
0.0743,807.13
0.0744,807.12
0.0745,807.11
0.0746,807.1
0.0747,807.1
0.0748,807.09
0.0749,807.08
0.075,807.08
0.0751,807.07
0.0752,807.06
0.0753,807.05
0.0754,807.05
0.0755,807.04
0.0756,807.03
0.0757,807.03
0.0758,807.02
0.0759,807.01
0.076,807.01
0.0761,807
0.0762,806.99
0.0763,806.99
0.0764,806.98
0.0765,806.97
0.0766,806.96
0.0767,806.96
0.0768,806.95
0.0769,806.94
0.077,806.94
0.0771,806.93
0.0772,806.92
0.0773,806.92
0.0774,806.91
0.0775,806.9
0.0776,806.9
0.0777,806.89
0.0778,806.88
0.0779,806.88
0.078,806.87
0.0781,806.86
0.0782,806.85
0.0783,806.85
0.0784,806.84
0.0785,806.83
0.0786,806.83
0.0787,806.82
0.0788,806.81
0.0789,806.81
0.079,806.8
0.0791,806.79
0.0792,806.79
0.0793,806.78
0.0794,806.77
0.0795,806.77
0.0796,806.76
0.0797,806.75
0.0798,806.75
0.0799,806.74
0.08,806.73
0.0801,806.73
0.0802,806.72
0.0803,806.71
0.0804,806.71
0.0805,806.7
0.0806,806.69
0.0807,806.69
0.0808,806.68
0.0809,806.67
0.081,806.67
0.0811,806.66
0.0812,806.65
0.0813,806.65
0.0814,806.64
0.0815,806.63
0.0816,806.63
0.0817,806.62
0.0818,806.61
0.0819,806.61
0.082,806.6
0.0821,806.59
0.0822,806.59
0.0823,806.58
0.0824,806.58
0.0825,806.57
0.0826,806.56
0.0827,806.56
0.0828,806.55
0.0829,806.54
0.083,806.54
0.0831,806.53
0.0832,806.52
0.0833,806.52
0.0834,806.51
0.0835,806.5
0.0836,806.5
0.0837,806.49
0.0838,806.48
0.0839,806.48
0.084,806.47
0.0841,806.47
0.0842,806.46
0.0843,806.45
0.0844,806.45
0.0845,806.44
0.0846,806.43
0.0847,806.43
0.0848,806.42
0.0849,806.41
0.085,806.41
0.0851,806.4
0.0852,806.4
0.0853,806.39
0.0854,806.38
0.0855,806.38
0.0856,806.37
0.0857,806.36
0.0858,806.36
0.0859,806.35
0.086,806.34
0.0861,806.34
0.0862,806.33
0.0863,806.33
0.0864,806.32
0.0865,806.31
0.0866,806.31
0.0867,806.3
0.0868,806.29
0.0869,806.29
0.087,806.28
0.0871,806.28
0.0872,806.27
0.0873,806.26
0.0874,806.26
0.0875,806.25
0.0876,806.24
0.0877,806.24
0.0878,806.23
0.0879,806.23
0.088,806.22
0.0881,806.21
0.0882,806.21
0.0883,806.2
0.0884,806.2
0.0885,806.19
0.0886,806.18
0.0887,806.18
0.0888,806.17
0.0889,806.16
0.089,806.16
0.0891,806.15
0.0892,806.15
0.0893,806.14
0.0894,806.13
0.0895,806.13
0.0896,806.12
0.0897,806.12
0.0898,806.11
0.0899,806.1
0.09,806.1
0.0901,806.09
0.0902,806.09
0.0903,806.08
0.0904,806.07
0.0905,806.07
0.0906,806.06
0.0907,806.06
0.0908,806.05
0.0909,806.04
0.091,806.04
0.0911,806.03
0.0912,806.03
0.0913,806.02
0.0914,806.01
0.0915,806.01
0.0916,806
0.0917,806
0.0918,805.99
0.0919,805.98
0.092,805.98
0.0921,805.97
0.0922,805.97
0.0923,805.96
0.0924,805.95
0.0925,805.95
0.0926,805.94
0.0927,805.94
