eig_end_r,eig_end_im,eig_start_r,eig_start_im
-1669.1,1337.7,-1582.2,1931
-1669.1,-1337.7,-1582.2,-1931
-1312.6,0.0,-561.67,0.0
-1573.3,0.0,-418.24,0.0
-72.58,0.0,-9.7554,0.0
-53.651,0.0,-3.5018,0.0
0.48481,0.0,-2.0706,0.0
